"day","confirmed","recovered","deaths","deaths_different","imported","active","hospitalized","intensive","incidence"
"2020-08-21",2594,1766,84,13,489,730,114,3,30
"2020-08-22",2635,1766,84,15,495,769,114,3,41
"2020-08-23",2673,1771,85,15,498,801,115,3,38
"2020-08-24",2695,1788,85,13,500,808,114,3,22
"2020-08-25",2726,1795,85,13,507,832,117,3,32
"2020-08-26",2762,1806,85,13,508,857,119,3,36
"2020-08-27",2810,1821,86,13,512,890,121,3,48
"2020-08-28",2841,1833,86,13,514,906,122,3,31
"2020-08-29",2876,1837,86,13,516,938,122,3,35
"2020-08-30",2906,1845,86,13,517,961,124,3,32
"2020-08-31",2929,1862,86,13,520,967,123,3,23
"2020-09-01",2958,1893,86,13,524,965,117,3,29
"2020-09-02",2978,1907,86,13,526,972,116,3,20
"2020-09-04",3040,1954,86,13,535,987,116,3,36
"2020-09-05",3083,1954,86,13,536,1030,117,3,43
"2020-09-06",3099,1959,86,13,536,1041,120,3,17
"2020-09-07",3131,1996,86,13,541,1036,118,3,32
"2020-09-08",3163,2017,86,14,543,1046,120,3,32
"2020-09-09",3200,2035,86,13,545,1066,118,2,37
"2020-09-10",3243,2052,86,13,548,1092,116,2,44
"2020-09-11",3296,2070,87,13,553,1126,115,2,53
"2020-09-12",3335,2070,87,13,555,1165,116,2,39
"2020-09-13",3386,2088,87,13,557,1198,120,2,51
"2020-09-14",3397,2120,87,14,557,1176,122,2,11
"2020-09-15",3444,2131,87,14,562,1212,130,2,47
"2020-09-16",3505,2160,87,14,568,1244,130,3,63
"2020-09-17",3565,2186,87,14,570,1278,129,2,61
"2020-09-18",3664,2197,87,17,574,1363,151,2,99
"2020-09-19",3745,2198,87,17,575,1443,155,2,81
"2020-09-20",3814,2208,87,17,579,1502,161,2,70
"2020-09-21",3859,2237,87,18,581,1517,164,2,45
"2020-09-22",3933,2248,87,18,584,1580,172,3,74
"2020-09-23",4070,2273,89,19,585,1689,194,2,138
"2020-09-24",4187,2308,89,19,591,1771,193,2,116
"2020-09-25",4295,2326,91,19,592,1859,194,3,111
"2020-09-26",4387,2327,92,19,593,1949,195,3,92
"2020-09-27",4490,2339,92,19,594,2040,200,3,105
"2020-09-28",4579,2354,92,19,598,2114,207,3,88
"2020-09-29",4693,2384,92,19,603,2198,224,3,115
"2020-09-30",4784,2431,92,19,603,2242,223,3,91
"2020-10-01",4956,2471,94,19,607,2372,214,2,172
"2020-10-02",5081,2494,94,19,610,2474,218,2,125
"2020-10-03",5185,2495,94,19,613,2577,222,2,104
"2020-10-04",5285,2519,95,20,614,2651,226,3,100
"2020-10-05",5366,2569,99,21,617,2677,225,3,81
"2020-10-06",5484,2613,101,21,622,2748,222,3,117
"2020-10-07",5625,2679,102,21,629,2823,219,3,142
"2020-10-08",5758,2740,103,22,639,2893,221,3,133
"2020-10-09",5963,2759,103,22,644,3079,238,3,205
"2020-10-10",6122,2778,103,22,646,3219,241,3,160
"2020-10-11",6248,2802,103,22,651,3320,251,4,125
"2020-10-12",6366,2876,106,32,653,3351,246,4,118
"2020-10-13",6506,2969,109,32,657,3393,237,5,140
"2020-10-14",6760,3004,111,32,665,3609,254,6,255
"2020-10-15",7042,3049,113,34,675,3842,273,8,282
"2020-10-16",7270,3097,113,35,676,4021,288,8,228
"2020-10-17",7521,3096,113,35,681,4273,305,8,252
"2020-10-18",7726,3157,116,35,684,4414,308,8,205
"2020-10-19",7930,3351,118,37,690,4421,317,10,202
"2020-10-20",8240,3633,124,37,691,4442,321,11,312
"2020-10-21",8663,3774,125,41,698,4719,340,11,424
"2020-10-22",9104,3986,128,44,703,4946,330,11,442
"2020-10-23",9577,4021,129,46,705,5381,350,11,474
"2020-10-24",10004,4073,134,46,709,5750,369,11,425
"2020-10-25",10906,4141,136,47,716,6580,408,13,722
"2020-10-26",11362,4330,142,52,719,6835,435,17,413
"2020-10-27",12138,4509,145,52,721,7427,464,16,776
"2020-10-28",13088,4583,151,56,721,8294,487,16,950
"2020-10-29",13823,4739,158,57,724,8861,500,17,735
"2020-10-30",14824,4876,165,59,730,9713,544,19,1001
"2020-10-31",15719,4883,166,57,732,10588,579,21,895
"2020-11-01",16557,4891,170,60,735,11405,600,19,837
"2020-11-02",17453,4935,175,61,737,12251,615,18,897
"2020-11-03",18092,5108,182,63,741,12704,665,17,639
"2020-11-04",19091,5285,188,64,745,13525,708,19,999
"2020-11-05",20747,5524,194,67,748,14938,756,20,1656
"2020-11-06",22719,5632,203,68,751,16789,788,20,1972
"2020-11-07",24699,5706,207,69,757,18689,846,21,1980
"2020-11-08",25756,5786,214,71,764,19657,904,23,1056
"2020-11-09",26858,6228,222,76,766,20303,925,25,1139
"2020-11-10",28260,6768,236,84,773,21147,998,27,1432
"2020-11-11",29812,7153,245,92,783,22297,1068,29,1553
"2020-11-12",31872,7476,258,96,790,24017,1144,29,2065
"2020-11-13",33387,7720,269,103,792,25268,1216,32,1531
"2020-11-14",34758,7765,277,110,797,26579,1272,34,1371
"2020-11-15",35911,8076,287,113,800,27411,1306,34,1151
"2020-11-16",36876,8873,306,120,808,27552,1361,35,966
"2020-11-17",38810,9731,328,128,813,28598,1490,34,1935
"2020-11-18",40486,10185,344,139,823,29792,1558,37,1680
"2020-11-19",42758,10560,362,145,833,31663,1649,39,2270
"2020-11-20",44739,10883,377,151,842,33300,1759,41,1982
"2020-11-21",47047,10974,388,156,845,35502,1808,41,2305
"2020-11-22",48223,11285,398,159,849,36355,1904,44,1189
"2020-11-23",49393,11862,421,175,852,36908,1979,45,1169
"2020-11-24",51680,12415,434,186,866,38618,2053,48,2286
"2020-11-25",53785,12902,461,196,872,40198,2204,49,2104
"2020-11-26",56124,13657,473,215,880,41749,2295,46,2339
"2020-11-27",58249,14073,485,223,882,43436,2356,45,2123
"2020-11-28",60225,14143,499,227,886,45324,2398,46,1976
"2020-11-29",61362,14365,505,233,896,46224,2458,49,1136
"2020-11-30",62550,15587,528,270,903,46130,2485,48,1187
"2020-12-01",64657,25418,549,283,915,38371,2521,50,2109
"2020-12-02",67103,26965,571,293,919,39238,2582,49,2450
"2020-12-03",69618,27920,595,312,924,40755,2706,53,2514
"2020-12-04",72466,30304,611,319,926,41196,2755,54,2848
"2020-12-05",74686,30403,629,321,929,43296,2839,57,2219
"2020-12-06",76073,30574,647,328,935,44487,2900,61,1386
"2020-12-07",77463,32585,688,338,937,43815,3002,62,1388
"2020-12-08",80593,33782,710,353,942,45711,3112,65,3128
"2020-12-09",83919,35115,745,366,947,47656,3207,67,3327
"2020-12-10",86986,36252,775,391,953,49531,3273,67,3066
"2020-12-11",90289,38797,795,394,956,50266,3343,68,3303
"2020-12-12",93139,38914,815,400,958,52972,3427,69,2849
"2020-12-13",95056,39108,834,404,963,54672,3525,72,1919
"2020-12-14",96487,41878,875,429,965,53267,3607,75,1432
"2020-12-15",99905,43496,917,450,969,55004,3697,76,3417
"2020-12-16",103064,45195,937,470,977,56424,3764,78,3158
"2020-12-17",106246,46740,975,495,987,57998,3728,78,3181
"2020-12-18",109466,50596,1012,509,993,57310,3762,82,3219
"2020-12-19",112397,50765,1029,513,993,60050,3816,85,2926
"2020-12-20",114527,51002,1049,521,999,61914,3868,86,2130
"2020-12-21",116397,54299,1104,558,1006,60395,3799,82,1871
"2020-12-22",120133,56019,1155,577,1022,62341,3850,86,3734
"2020-12-23",123926,60798,1190,593,1037,61304,3867,88,3798
"2020-12-24",126620,60948,1210,598,1043,63823,3892,89,2690
"2020-12-25",128971,61355,1233,608,1052,65733,3948,86,2350
"2020-12-26",130638,61754,1258,624,1060,66960,3995,91,1667
"2020-12-27",132409,62252,1284,647,1069,68184,4053,91,1773
"2020-12-28",134326,67021,1357,672,1080,65233,4077,100,1922
"2020-12-29",134931,69081,1428,719,1090,63661,4068,103,607
"2020-12-30",140621,71133,1495,774,1103,67176,4139,104,5665
"2020-12-31",143943,76473,1594,827,1107,65007,4121,100,3322
"2021-01-01",145440,76779,1622,840,1114,66156,4201,102,1493
"2021-01-02",146676,77363,1645,852,1120,66773,4279,108,1239
"2021-01-03",148038,77901,1684,868,1132,67542,4343,116,1361
"2021-01-04",149540,81743,1719,901,1137,65134,4342,121,1510
"2021-01-05",152260,83917,1767,923,1149,65608,4418,129,2716
"2021-01-06",154595,86139,1776,936,1155,65696,4485,143,2328
"2021-01-07",156585,88067,1931,1082,1163,65457,4443,149,1993
"2021-01-08",158230,92230,1971,1124,1173,62855,4424,151,1642
"2021-01-09",159718,92477,1997,1144,1179,64051,4470,156,1489
"2021-01-10",160494,92666,2032,1173,1181,64573,4498,156,775
"2021-01-11",161397,95720,2068,1205,1185,62354,4523,152,903
"2021-01-12",163090,97379,2070,1216,1188,62375,4562,154,1694
"2021-01-13",164462,99156,2134,1282,1192,61836,4523,153,1371
"2021-01-14",165612,100546,2182,1314,1196,61516,4534,157,1150
"2021-01-15",166732,104046,2231,1355,1198,59046,4526,156,1122
"2021-01-16",167568,104188,2264,1381,1200,59681,4621,156,836
"2021-01-17",168043,104316,2296,1388,1204,59990,4636,154,476
"2021-01-18",168759,107538,2317,1426,1204,57425,4555,152,717
"2021-01-19",172109,110674,2337,1452,1207,57593,4621,153,1232
